gene,pvalue
AC139887.1,8.872168170939542e-06
SOWAHC,1.1498150149135605e-05
GNL3L,1.4854825308337273e-05
TRBC2,1.995230634425343e-05
MXD1,2.1690696314681794e-05
AC243960.1,2.5598974274524048e-05
JPH1,3.0195579355369456e-05
TOMM40L,3.2771637335082566e-05
CPS1,3.413331148884065e-05
APCDD1L,3.548598154107554e-05
PSD3,3.555559313034953e-05
TAF8,4.181120983276015e-05
IGSF3,4.910188524299241e-05
SMAP1,4.910188524299241e-05
MTPN,5.318433571808422e-05
GINS4,5.991572320929297e-05
GNAT2,6.221860929535353e-05
DENND6B,6.484324321409714e-05
SPAG4,7.295911480728352e-05
GATAD2A,8.528257217053185e-05
LDLRAD3,8.528257217053185e-05
DDX21,9.955508808869731e-05
STK26,0.00010346037753766482
ZBTB20,0.00010750993325717505
P2RX4,0.00011170871803210413
LRP8,0.00011606185099367177
AC004687.1,0.00012525244617171737
RASL10B,0.00013010096840642473
AC120114.1,0.0001351259681705438
XPO5,0.0001351259681705438
AP001350.2,0.0001513204471776302
CD2,0.0001513204471776302
CRCP,0.00015711291328009922
AC141586.1,0.00016932943339591645
CD3D,0.00016932943339591645
LTB,0.00017576758164906763
ATF6,0.00017576758164906763
ANKS1A,0.00017576758164906763
COG5,0.00018934050404641298
MZF1-AS1,0.00018934050404641298
SLC30A6,0.00019649068775263006
AL035420.3,0.00019999990494190995
GZMA,0.00020389401210178082
LRP2BP,0.000211558769925519
ARPC2,0.000211558769925519
BATF,0.00021949350044720228
RNF114,0.00022770699569574189
PDCD11,0.00024500675195433797
FASLG,0.00024500675195433797
B4GALNT3,0.00024500675195433797
KALRN,0.0002541119206910255
MBOAT2,0.0002541119206910255
SLC45A3,0.0002541119206910255
CD40LG,0.0002633300898488106
STAC3,0.00026353368340495577
ATP11B,0.00026353368340495577
ITPRIPL2,0.00026353368340495577
ACTN4P1,0.00026353368340495577
ECEL1P2,0.0002728621021320221
NIPAL3,0.0002732821971889457
GGH,0.0002732821971889457
CSNK2A1,0.0002732821971889457
KLRB1,0.0002732821971889457
CCDC159,0.0002732821971889457
DCP1A,0.0002833679133475962
PLAGL2,0.00029380158480282563
NMD3,0.0003045942736484267
TNFRSF14,0.0003045942736484267
ACAP1,0.0003045942736484267
NRARP,0.0003045942736484267
CD3E,0.0003157573588554208
ACTA1,0.0003273025441300114
ZDHHC9,0.0003273025441300114
CHMP2A,0.0003273025441300114
RCAN3AS,0.0003391405309783038
LINC02482,0.00033924186592585863
CEP68,0.00033924186592585863
ZRSR2,0.00033924186592585863
MED11,0.00033924186592585863
SERBP1P1,0.00034446346256296486
RPS12P26,0.0003510653862252489
DCTPP1,0.0003515877016124377
MATN1,0.00036435277780118085
RAB29,0.0003775501788310651
FOXP4,0.0003775501788310651
TTC21A,0.000391193355415338
TRAC,0.000391193355415338
TRAPPC2L,0.000391193355415338
EPHX4,0.000391193355415338
CEBPZ,0.00040529613345097903
LRPPRC,0.00040529613345097903
MTHFD2,0.0004198727229925055
CA13,0.0004198727229925055
PFKM,0.0004198727229925055
GNLY,0.0004198727229925055
FAM151A,0.0004343105196540729
KCTD15,0.0004349377273916675
CHMP3,0.0004349377273916675
SEC14L4,0.0004426262057214423
LINC02345,0.0004503768162768349
CXCR3,0.0004505061526045851
RPS4XP14,0.00046592725971237854
CMSS1,0.00046659341666778476
CD247,0.00046659341666778476
STRAP,0.00046659341666778476
PRRG1,0.0004832153593445977
SENP2,0.0004832153593445977
RPS29P5,0.0004888101060106644
CDK2AP2,0.0005003882519433214
AL512353.1,0.0005003882519433214
NOTCH2,0.0005003882519433214
PPRC1,0.0005181288073085093
ATP2C2,0.0005181288073085093
EXOC4,0.0005181288073085093
DUX4L50,0.0005181288073085093
GALNT14,0.0005181288073085093
