gene,variance,mad
PIGR,13.360788238307338,2.4887039800677098
LTF,13.200774909491338,2.758156297091427
MUC5B,12.578132693354206,3.1872930790338256
TFF3,12.205117802077812,2.8740345228293878
ELAPOR1,10.817606584713996,1.7869947261783308
DKK4,10.148874514139779,0.2925933144375907
CHGA,10.133308146301452,2.1859259072752257
PKHD1L1,9.896616091066662,2.93529373794505
IGHG1,9.893027002468273,2.270422891220985
NOTUM,8.789238462998815,1.5402094030021891
IGKC,8.746185420670415,2.1437230781703622
IGHM,8.622431245487633,2.199880191922746
SCGB2A1,8.614072493208734,2.1765470148771975
IHH,8.484260674967997,2.8072453757390963
OLFM4,8.417561055102315,1.6245501350543707
IGHG3,8.366998917574616,2.201494145753684
IGHA1,8.32287070858462,2.0922317763535796
MMP7,8.24976176554509,2.0688785467165633
CLDN6,8.164452657264574,0.6319161991950863
ALPG,8.03301780075272,2.090725261733911
CXCL14,7.8809820548396115,2.0674268721865205
KRT5,7.876181931840618,2.1438915475018145
HP,7.845361153058276,2.2253532813526355
PAX2,7.797378372812621,0.7364347182462624
MSX1,7.782156565039072,1.4775788745462517
C20orf85,7.781910059739793,1.9513478866688012
MSLN,7.774499308524887,2.2292688735760935
CST1,7.729635041522562,1.0433676339351798
NLRP2,7.6304905173771145,2.631175838108847
MUC6,7.452461123694031,1.570076628968312
AOC1,7.445289494178889,2.1287799137031413
IGHG2,7.429893553837696,2.0541050721053797
WNT7A,7.348991225529538,2.3363948262588408
OVGP1,7.311772136958966,1.2855001616075656
AC084866.1,7.2512559237035115,2.396084398689644
IGHA2,7.221979637768657,2.0247376527802183
PGR,7.197561675761382,1.7509307260891385
UPK1B,7.173984074224801,2.3347853456388465
UCHL1,7.144034066635112,2.0633560439370147
CAPN6,7.116946677042209,2.197447767372653
IGHGP,7.09444752883156,2.096370048820647
SCGB1D2,7.084491620350749,2.006516169564789
KIF1A,7.072642836936595,1.9218053758921396
IGLC2,7.039806645788866,1.8710449276995158
HPGD,6.965673587153815,1.892053874579395
SPON1,6.9420977237761505,2.125374061744153
SPDEF,6.878579351131419,1.4823383546842779
MTND1P23,6.823833427160679,0.5372264413143854
SFRP4,6.8093976254085815,2.0795055160289118
IGHG4,6.7941047397713055,2.049370505680706
SERPINA5,6.770294229228253,2.1615410158673245
CXCL17,6.735233351989358,2.173293939511202
L1CAM,6.66642093007784,1.041299658194267
WIF1,6.659026724283455,1.1931421936932085
LINC01541,6.609252032998025,2.011353418942227
LEFTY1,6.550390837325209,1.751518687635177
LINC00261,6.527492245029367,2.4003486961958815
TNNT1,6.50076808579647,1.89754345332106
MAL,6.47856961176766,1.9763436882476197
SCGB3A1,6.381578857483059,1.550183142434895
MS4A8,6.285823764433588,1.3433088198056335
KRT6A,6.252815036858322,1.5296907769430579
DES,6.129704895792763,1.815976238772333
COL2A1,6.12537945499464,1.3131098367894598
AL079338.1,6.123293092373656,1.350640454222835
SST,6.102186917291848,0.7492673269455171
ALPP,6.063907283795021,1.731120697855259
CEACAM5,6.0592295476407845,1.3228165561643117
NAPSB,6.043687693414492,1.578417068408149
LGR5,6.015209312496299,1.747391077126272
IGKV4-1,6.010936651106663,1.8570313804257443
EDN3,6.007747270353119,1.4607655693478858
LCN2,5.993500647341234,1.6876337712744283
GLYATL2,5.987198371202107,2.319527641151721
SLC47A1,5.949883583391857,2.2524690400246055
C4BPA,5.8743917659880225,1.7054448950445653
PI3,5.872169480936741,1.8149381324258973
AGR2,5.830622764907383,1.707361157861727
TPPP3,5.812294068945159,1.863332335505909
AL365357.1,5.7538417346437365,0.8660758037880579
IGLV3-1,5.753261638312091,1.7341484935085147
CDC20B,5.742482716062217,1.646475943508737
JCHAIN,5.739759069066452,1.872660453091441
CLIC6,5.678676695240012,1.6534398810739859
GPX2,5.677154186926806,0.9332665367620518
IGKV1-5,5.646425004976973,1.807353440772157
IGLC3,5.629483527658443,1.735126719162194
CDHR4,5.58033817936012,1.349345131277716
GABRP,5.561961247140445,1.728351684877925
C9orf24,5.5317629158914885,1.568697456871942
IGF2BP2,5.528213096267012,2.165118001677432
IGLV1-40,5.491231653414552,1.8596874849942733
AQP5,5.490577573614806,1.3967518851966538
DMBT1,5.466518841978836,1.4128695746844637
IGKV3-20,5.460737355461883,1.8296858837883314
IGLV3-21,5.459588565562399,1.6335453634814274
CDH16,5.446273672450733,1.3067716973766543
MUC5AC,5.4381726335611065,1.2677903517712925
PEG10,5.4274308876569375,1.6187775702989269
CP,5.418788334941712,1.4892895624110487
H19,5.415537456865075,1.2880805437180731
FBN2,5.41161803090218,1.7860495902491849
IGLV2-14,5.4005666011783635,1.7611703184427565
SEMA3E,5.397613248933451,1.8797827748356313
EEF1A2,5.396904841236147,0.42610915197380267
PLEKHS1,5.389704975959588,1.737274367349908
MUC13,5.38337601827755,1.798365944776227
SFRP2,5.372807985839642,1.6382198449090564
LRRTM1,5.355576593218104,1.8562772146989959
KLK11,5.348850391386236,1.7773410066652024
ZIC1,5.342337065127221,2.2254696746612295
KRT17,5.314217593654782,1.5813639772680252
IGHV3-23,5.304041886514727,1.7214944692041056
NPAS3,5.2951983013653185,1.7079917048026383
SCNN1B,5.280483069272854,1.8572861281391173
LINC02167,5.249335259200694,0.2555521040328383
CAPS,5.223920271316633,1.602333691609977
FOLR1,5.214815549480566,1.64542472271423
SERPINA1,5.208604003831194,1.7276896284505483
CERNA2,5.1921974763082,1.6814174121099192
LAMP5,5.170169131732028,1.6547459817161472
DKK1,5.165210094884809,0.5132575709565522
MUC16,5.163899688466938,1.427910843132798
SAA1,5.1487143940651965,1.828743967143585
GRIA2,5.115809107386598,1.9587039665467576
SLPI,5.113179102356102,1.3593019578892447
CLDN10,5.109998786259949,1.9881031770700925
ADCYAP1R1,5.1009448059819915,2.0844560612865726
UGT2B7,5.092145793586749,1.8302918515039948
CFTR,5.06655357810542,1.6377406041090712
S100A9,5.066224267522671,1.5223098394125967
TBX18,5.0571253816447665,2.2115654223176504
BMP7,5.051490441105389,1.8222131103122812
IGLV3-25,5.0457327889220585,1.4923574085997138
TEKT1,5.04511363888858,1.3807665884408102
FOXA1,5.040546646615227,2.0563830069360467
PPP1R1B,5.03751465669633,1.5627366050899019
LINC01480,5.027969072103036,1.0402940066499184
DEFB1,5.020136955273548,1.7472755224472714
COMP,5.017740831975679,1.3863759652956211
EYA2,5.009920705562382,0.899324351213119
HOXB9,5.009273253941071,1.4971443316387956
C1orf194,4.984527369077837,1.5490781060454513
C3,4.975553564141892,1.5755020354156972
FAM216B,4.960052540836984,1.0508971251552433
BEX5,4.951327707037687,1.4654832348298434
AKR1C2,4.919361059032177,0.8177755502328841
LRP4,4.906314680970713,1.6646804283098406
PDZK1IP1,4.893950196705634,1.6573837236199793
MSX2,4.889814260637523,1.7533632222428297
IGLV2-23,4.856356868191514,1.6533912862509943
MUC4,4.8499634789661785,1.6521535179878484
KRT16,4.847681476503969,1.3592100217867487
SCGB2A2,4.840043990157176,0.8344799559623853
IGLV3-19,4.838612831428082,1.4972106219488697
COL9A1,4.827831085242675,0.9306761515342864
GDA,4.824449735871537,1.6595896446530976
GREM2,4.820773888342323,1.125355631490292
TUBA4B,4.820177296448289,1.286739036389485
MMP10,4.782944646535764,1.3834253038595263
IGKV3-11,4.778038402875391,1.6020885165439882
RPS28P7,4.738191339822847,0.8642437296712333
WDR38,4.729772090527955,1.3408259153590363
CCNA1,4.727731805812653,1.7297668034169953
ENPP3,4.726955796486278,1.4390131647984514
TMEM101,4.724647729853814,1.773503426441506
HABP2,4.720281669443659,1.7833496097067754
FOXA2,4.714051699488379,1.498682273010342
GAD1,4.7131198493932756,1.6679824386786306
SNTN,4.713047027768681,0.8478971257503849
LAMA1,4.713029945951412,1.5332342507293886
IGHV4-39,4.713027271532879,1.6106447824728223
RPL10P9,4.698952922268723,0.8370585896578775
COL26A1,4.697515610903433,1.6414587082601613
SLC7A2,4.692464854857306,1.5881222167254783
CAPN13,4.691951467565032,1.5492883487531968
CREB3L1,4.690995906556735,1.781064935481219
HOXC10,4.686899615327918,0.2738222717264814
SERPINA6,4.66347880918358,0.7861730325920957
IFI27,4.653560739149105,1.5642038217699445
TUBB2B,4.651908749654289,1.1856795989546272
AC026336.3,4.6409243948511785,1.9034236028479112
AKR1C3,4.627047586848764,1.4660834881528517
IGHV1-18,4.622106607561962,1.522300032524865
GFRA3,4.619677617671221,1.2550938970764987
S100A8,4.606119109999061,1.325945545557719
POU3F3,4.580810378681216,0.1178250846582888
DLX5,4.579885418766274,1.0530567538763629
DPP4,4.574941575472615,1.5739803527112224
ZIC2,4.5692097107897744,0.5071884612529283
HOXB8,4.564034391743678,1.0297080559132965
ROPN1L,4.561528327835987,1.456267482714054
IGHV5-51,4.550843243143582,1.4704230936226548
ANPEP,4.544472299792375,1.3164910985531213
CXCL9,4.541528663208709,1.5565564839532158
CRABP1,4.537338770156466,0.8557390127747753
CTNNA2,4.519373143325126,1.7166106186299541
RHEX,4.509188801095112,1.2670440693960803
WFDC2,4.507640286856254,0.992562684653798
BCAT1,4.502443726498734,1.517448125912627
SP5,4.494433986226317,1.3276536469371814
OMG,4.492739687165764,0.8347141785822647
NKD1,4.477005725607551,0.9957459946933147
ZMYND10,4.461682414414315,1.623637659457067
C16orf89,4.452956796549007,0.8388844110337842
IGKV3-15,4.451982046040204,1.5946180437499164
CXCL1,4.445998858459998,1.5411961610289586
GSTM1,4.441310815758472,0.7441052229874201
PROM1,4.4335045284958605,1.289628214816898
EFCAB1,4.424856004493278,1.531498402594314
HNF1B,4.417695878330692,0.999971912059304
THSD4,4.41180999793217,1.6100067489334462
GLDC,4.3973974605422175,1.8454094829500014
CEACAM6,4.393161113849497,1.4583618857444822
AGR3,4.392198870364352,1.609205041907369
IGLV2-11,4.387511594725056,1.4578849205220392
MLPH,4.386226606824892,1.2350121475060583
PTGS1,4.382851396883064,1.6479628320501334
KLK7,4.367838128005311,0.9530302563560171
HMGA2,4.365672975860435,1.3914124200103983
KLK10,4.349001544057233,1.5660377669459384
LPAR3,4.346883245113021,1.5781147794512167
SCNN1G,4.332342691520245,1.6766130031253046
UCA1,4.326491574003103,1.5371475404781774
CAPSL,4.314595671708958,1.6208855143339118
SLC5A1,4.299403090620666,1.8290064046832062
IGLV6-57,4.28450867230582,1.240928008006714
SCGB1D4,4.2835189543190735,0.2432556789421788
CLU,4.281711894726001,1.3866633256885024
LGR6,4.2688746741186785,1.4165165008668912
LRRN2,4.253447780198163,1.571920155449766
FBN3,4.249678549519469,1.4200653118286786
KLK6,4.241185946261403,0.9611118034694619
ADGRG2,4.237392736747763,1.5601802087503414
TESC,4.224118782486068,1.5782508123953136
LMO3,4.2164222029253295,0.9471846513149595
RPL41P1,4.215340042309033,0.0
DNAH9,4.214092856696701,1.5132505315170617
MYH11,4.211767864772277,1.3823562857128877
C5orf49,4.20094981136832,1.5518805105228113
CHL1,4.200297380794983,1.3812178992212614
XIST,4.195869667111609,1.3274031858377286
FAM183A,4.181713533847278,1.5397382398275428
VTCN1,4.173156995713116,1.248791425777223
CDH2,4.163957194218186,1.6069824834629252
PRSS21,4.163613574462986,1.1700690998665764
ESR1,4.152158203780399,0.9035028844392494
VWA3A,4.146636747236417,1.7225126264869162
ADAMTS8,4.145585258051243,1.3407149719689517
B3GNT3,4.138377963789004,1.6036948160883666
PCSK1N,4.1094781637890065,1.5123779429490707
FAM107A,4.090080949327692,1.4597940785878807
BX571818.1,4.082401280914782,1.088166873600131
CDH6,4.077334211852749,1.5066729787630675
CCDC78,4.071456280541216,1.3569197771285297
VNN1,4.0654718281173485,1.204569178676357
CXCL5,4.049502332215582,1.3310207594626657
IGHV1-2,4.03793256658941,1.1903278219329978
IGLV1-47,4.037613006090969,1.3266725333909506
TSPAN8,4.034184269019039,1.3793146756262877
OBP2B,4.0252500135695195,0.1542128283445441
IGHV3-21,4.0240066583506895,1.2944030067753804
FAM166B,4.016216108165563,1.3030430355627283
GALNT14,4.007237634833704,1.6901248395448694
CRABP2,3.9889472453114525,1.5077905181299478
DRC1,3.9871733677506187,1.407771129721168
BST2,3.980628483913582,1.33533649335381
KRT7,3.977943874543861,1.331710084238046
DNAI1,3.9756325236457437,1.273845229384443
CDKN2A,3.9659297937472533,1.6152172356331969
LRP2,3.9611783554139137,0.8294084404720229
CCL21,3.9484076211598302,1.669600021681445
ERICH3,3.937472012484869,1.8172635898740364
HOXA9,3.9231621241321832,1.6179681541782576
PLXNA4,3.914582208462249,1.3983775441147435
C2orf88,3.9137837539888327,1.2723065332554944
APOD,3.912841906455137,1.3491363981270343
DNAAF1,3.90999442331513,1.3748626039419098
HOXB5,3.909718061639464,0.8230661805036128
IGHD,3.9027835349615354,1.031247858730219
AC007906.2,3.9023912177688187,1.4438768203722918
PKDCC,3.9015480945843213,1.504673051570352
PTGS2,3.89386363274479,1.296431129271057
CFAP77,3.8852285467322627,1.2609074826877167
DLX6-AS1,3.8818992818243427,1.2557549802132417
CPM,3.8814065924588563,1.5098673458853797
LRRC46,3.874513841384374,1.2494753608756657
ARMC3,3.8609302758955693,1.5219866740823096
KIF12,3.8608588062327427,1.2875275342779489
BMPR1B-DT,3.858260385196777,1.6668633945522684
VWA5B2,3.8555632749910687,1.4258962528746295
KANK4,3.8536296268606223,1.4796658519824426
VIL1,3.8439113381471746,0.8113667508278524
LINC01320,3.8411431518790855,1.6094619238435364
SLFN13,3.8369167418575496,1.8052621230069654
IFI6,3.829168700808178,1.4763470174144837
AKR1B10,3.8249329589137377,0.7995973096324103
PPP2R2C,3.8230220216248703,1.601329038941763
MLF1,3.8226777141385067,1.506746615674039
S100A14,3.819524040770319,1.3708799216628034
CES1,3.811486851258955,1.0201643619650076
GALNT16,3.809596933323781,1.5258755925843057
ACTG2,3.809178879693906,1.320518644027517
CIBAR2,3.8022035257658304,0.9660335540786469
HGD,3.7741208919604268,1.233484922879435
IGLV1-44,3.7696478350821065,1.213160738888538
S100P,3.7631917556981405,1.2731507517747072
IGHV3-30,3.7564961345145313,1.3595730226931975
B3GALT5,3.756206637300444,1.7374393362239036
EPHA7,3.74990459488718,1.432735943757748
SLC34A2,3.7427073709646512,1.1179378601366476
NEFH,3.7297096011934774,0.4796835540643578
MT1E,3.7279482562151505,1.47787930231857
HPN,3.7239426309923376,1.0744342568599716
C2CD4A,3.7238289800970237,1.391501773485114
SYT13,3.7208382847064247,1.5779963961405186
HOXB6,3.7203505697680823,0.8620261022495308
FOXJ1,3.7115316696219947,1.1884606370824375
PCDH19,3.704217886966206,1.3328531649578537
IGHV3-48,3.7035410552873453,1.128628455098437
CDHR3,3.6977424621529895,1.0748418573056575
ST6GALNAC1,3.6960259138450935,1.2493151510422607
TRIM29,3.6935797059883426,1.387229173458663
AC025580.1,3.693391360829124,1.6680965938570218
ENKUR,3.6823237735484384,1.2553071783916796
PIFO,3.670404745488987,1.3673923171022921
JSRP1,3.660365105686819,1.6051267942813987
CRLF1,3.657821080796621,1.1262457632510827
ALPK3,3.6554158755091493,1.485839951170921
LRRN1,3.6542644474995516,1.5374129988578105
NTS,3.652209668769074,0.2608927535300808
ECEL1,3.6514384358631347,1.4890945934373474
FBLN1,3.6469248743009524,1.3077438173453855
SBSPON,3.645649917966018,1.4671133127265543
AL357093.2,3.626943911950905,0.6418792397262345
WNT11,3.626781713643199,1.403967874682159
AKR1C1,3.625386447897247,0.8468797540520758
PNMA3,3.6197524098495886,0.9680017662212845
CCL20,3.6121108685501744,1.4358404808168859
DACT2,3.610651721535524,1.1347325926481835
