,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,recon_err,y
TCGA-EY-A1GK-01A-11R-A13S-07,0.16041201,0.48847806,0.4872511,-0.3813669,-2.4839246,0.162233,-0.706514,-0.4359459,-0.5068921,-0.031187791,-0.83066887,-2.2870471,1.0361127,1.1129854,0.31549594,0.68607986,-0.21089871,-0.4369924,-3.8392696,-1.6808195,-1.0472203,0.20795804,-0.9868833,-1.2346481,-3.3399975,-0.56343526,2.2043219,-1.4421704,2.3072066,3.552503,1.9134927,-1.8091774,15.41492,0.0
TCGA-FI-A2CX-01A-11R-A17B-07,-3.6142774,4.4676538,-4.624421,-1.9407107,5.503517,8.898105,6.2894006,1.7973694,-6.017203,-8.9679985,-5.1888914,1.2560822,4.5488663,-1.05343,-0.35156074,-3.849351,-1.1367372,-6.17833,-3.2899857,-4.871344,5.644786,-0.7285129,-4.3286357,5.89861,-1.3465506,-2.7979238,-0.61101687,-1.1546801,6.4869914,-0.94989485,4.742375,0.38958886,11.567455,0.0
TCGA-AX-A3G3-01A-11R-A213-07,-0.55903214,1.6437683,-2.5605047,-1.8825914,4.30623,6.4069757,2.8145275,-1.3323131,-0.4106036,-3.5899913,2.175907,5.0813637,2.1753197,2.465825,1.7476014,12.363192,1.1035587,4.0556846,-1.6763476,-6.4576116,6.6069574,1.9813315,-6.6805534,0.45097798,2.2943857,-0.43263066,-4.263624,1.1726204,5.879416,0.7424651,3.641556,0.65042746,15.213572,
TCGA-A5-A0GM-01A-11R-A040-07,-0.52097183,-2.7801027,-1.5718278,0.18220492,-0.16388966,0.78854626,0.3365569,-0.21694952,-0.9391224,0.27015013,-1.7611462,0.40446755,2.0826077,1.4607606,1.2647324,-0.30738926,0.24880067,4.54827,-0.18013348,0.09089138,-0.46909985,-2.188277,-2.6481268,-0.5188235,-0.84594744,-1.1107987,1.9411212,-0.8579228,-2.3234682,0.19077466,0.11098147,0.97114044,11.170344,0.0
TCGA-BG-A0MS-01A-11R-A104-07,-0.63817006,-0.2759869,-0.011261107,-0.5551032,0.74808353,-0.6537613,-0.5960555,-0.8277342,0.59713763,-2.076882,0.12528014,0.08605657,1.8936818,-0.27335715,-1.2230021,-0.66858315,1.4505155,1.3148421,0.30564868,-2.138318,0.8975041,0.09503911,-0.98726726,-1.3699925,0.29780498,-0.26529154,1.0535789,0.73759466,-0.2398777,0.18714172,-1.3023664,-0.28207725,7.523183,0.0
TCGA-B5-A0KB-01B-11R-A14D-07,-2.17434,-1.363516,1.5472411,-1.5009164,1.8085052,1.4453028,-0.6099974,-1.0122049,2.3741553,-5.317685,-2.4083169,-0.4263007,1.2013202,-0.64226884,-2.7547395,0.65452284,-2.0648577,0.6575889,-4.408064,-2.853569,1.8572739,-7.535826,-0.8071042,3.2798965,-3.5012765,-1.0328792,1.2019068,4.7866263,6.00994,1.8569666,2.1405616,1.3933042,14.661482,0.0
TCGA-BG-A0M8-01A-12R-A104-07,-4.1766853,-2.1137378,-6.3583183,1.6854331,0.9813495,6.1672153,0.2915059,3.050529,-1.1955799,-1.7308593,-4.115572,1.8489908,0.9169825,3.257075,0.47196296,0.42026377,0.6707406,0.5440146,0.21082395,-3.2413118,1.3504738,-1.3678975,-5.029051,3.622273,-1.1141187,0.18971086,2.1411362,3.382193,0.09076148,0.80241215,0.9336937,0.6817325,9.045208,0.0
TCGA-AP-A05D-01A-11R-A00V-07,-1.1058687,-8.319097,2.2593553,0.20314701,2.2805562,6.109452,-3.657762,1.6000719,4.0738344,-4.1662054,-0.09139883,2.766255,1.9971862,-1.1862391,0.34812054,3.4514291,1.5074542,0.07600088,-0.23019557,-4.301321,6.023147,-5.1819825,-4.2052836,6.456416,-2.468607,-2.1432197,-0.0058070864,5.439732,1.2668159,-2.6768854,2.7973623,-0.48071897,14.657679,0.0
TCGA-AX-A2HF-01A-11R-A17B-07,3.2060652,-3.4133286,3.2524037,-1.6582348,0.37327388,-0.68157756,0.03978437,-1.3030443,0.18502225,-3.1298425,-0.013424477,0.24590512,-1.7100796,-0.03434355,-2.2935433,2.8842783,-1.2937257,1.2444577,-2.3175697,-3.1760764,3.5007436,-6.3955464,0.3332622,0.14434366,1.102215,-1.0887315,0.16094227,-1.6462824,1.2833536,-2.004246,-0.87172407,2.9172678,14.108192,0.0
TCGA-AX-A2HD-01A-21R-A17B-07,-1.3086021,1.4697232,2.8670413,-2.7273133,-1.7786524,0.7263221,-1.076989,-1.5943525,1.6446187,-4.1179595,0.25760445,2.0596485,-0.7371015,-3.1887023,-2.0407019,2.724291,-0.0019034026,-0.80187243,-1.3837771,-0.66101897,0.42765823,-1.6394273,2.5561485,-1.5542958,-0.46071666,-2.8898218,2.0342324,-0.010469582,1.4342415,-1.077854,0.1356158,0.13256875,11.423335,0.0
