sample_barcode,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32
TCGA-EY-A1GK-01A-11R-A13S-07,0.0,2.3228867,0.0,0.93865055,1.6778773,0.0,0.43814266,0.8666339,0.0,1.031499,0.0,1.341301,0.874058,3.951589,1.5519941,0.0,0.0,0.0,0.0,10.581785,0.0,0.74893725,3.1154153,6.923809,5.1487107,3.7430773,0.0,7.4441533,0.0,0.0,1.3899937,2.8240323
TCGA-FI-A2CX-01A-11R-A17B-07,0.0,0.0,0.0,0.0,1.0679439,0.0,15.868632,0.0,0.0,12.058365,1.2831556,1.0176723,14.184253,4.6847973,0.0,9.482911,0.0,0.0,0.0,12.245634,10.036647,6.163071,9.916079,11.733177,6.938531,0.91397184,0.0,0.0,1.7103555,10.933701,0.5352863,0.0
TCGA-AX-A3G3-01A-11R-A213-07,6.5613184,0.0,0.6139766,0.0,0.5861203,5.568467,4.4628277,1.4746456,4.063547,8.297401,0.8656237,0.0,4.666227,3.3516815,0.0,7.089855,0.0,0.0,0.0,0.0,4.5793357,0.23736393,4.549279,0.0,1.4383339,0.0,0.0,0.0,7.15004,3.958538,0.0,0.0
TCGA-A5-A0GM-01A-11R-A040-07,0.0,2.1504405,1.2991861,3.6988676,0.7284354,0.0,0.0,3.1352615,1.0011961,0.0,1.4250243,4.1044517,0.0,0.0,0.25362656,0.2591009,1.3911738,3.0371864,0.0,0.0,0.0,0.0,0.0,4.0055304,1.0550706,2.0351217,0.0,1.8187449,0.0,0.6584587,3.4410396,2.6823807
TCGA-BG-A0MS-01A-11R-A104-07,0.0,7.2937245,0.8835258,6.231932,3.2825022,1.0480644,0.0,4.5417156,3.8709593,0.11600028,3.718377,2.200626,0.5316611,0.0,0.0,1.256671,2.745545,0.16108966,0.0,0.078679755,0.0,0.0,0.0,3.1525693,1.9502853,3.807454,0.0,5.975978,0.0,2.6518004,6.389019,2.9513028
TCGA-B5-A0KB-01B-11R-A14D-07,3.9964573,0.96287507,0.0,0.88844883,2.0348063,0.0,4.2870545,0.0,0.0,9.39432,3.8132086,0.0,4.6440134,4.0600333,3.726165,0.0,0.8625743,0.0,0.0,3.651391,0.0,0.0,2.1725483,0.0,4.83103,0.0,0.0,3.5119956,1.0741332,0.0,0.0,2.6173859
TCGA-BG-A0M8-01A-12R-A104-07,0.0,3.2309134,0.0,0.0,2.23558,4.351304,1.9443403,4.1227465,0.0,7.1939116,0.0,2.6615028,3.3726966,2.0807872,0.0,3.5929513,0.0,0.0,0.0,4.256536,0.0,0.024420626,0.59220755,14.504828,1.6432358,0.0,6.112516,0.0,2.8227887,3.118546,0.0,0.90256345
TCGA-AP-A05D-01A-11R-A00V-07,6.55926,0.40393418,1.4422528,9.078596,1.8613788,10.879119,8.583601,0.0,5.1777515,8.057686,3.9416747,4.357076,0.0,0.0,0.11494374,6.9672546,0.0,3.382142,1.5548224,0.0,0.0,0.0,0.0,0.5886501,0.12750661,0.0,0.9204381,0.0,10.776019,1.2687962,0.0,1.2132645
TCGA-AX-A2HF-01A-11R-A17B-07,16.93852,0.0,10.52827,10.334193,0.0,1.191747,7.7192426,0.0,6.6612415,4.190881,0.0,0.0,0.0,0.93248963,0.0,0.0,4.3077,7.4334164,0.28580177,0.0,5.4981823,0.20906919,5.914948,0.0,0.0,1.1424398,0.0,0.0,5.4633546,4.627886,1.210502,0.0
TCGA-AX-A2HD-01A-21R-A17B-07,5.1566896,7.4411135,3.1306918,10.523954,0.0,5.8981943,7.2251925,0.0,0.0,3.6503346,5.512623,2.797336,1.3217523,7.139179,8.654384,0.0,5.661085,0.0,0.0,5.72633,0.0,0.01958976,0.0,0.0,0.0,2.3014913,0.0,0.0,0.0,0.0,0.0,3.8744485
TCGA-BG-A0YU-01A-21R-A10J-07,0.0,1.532144,0.0,4.9278893,1.7497056,0.0,0.0,3.6472883,0.0,0.0,0.0,3.0914502,0.0,0.0,3.2450492,0.0,3.6442766,6.313132,0.0,9.136707,0.0,0.8153126,4.6350427,4.8391123,2.3110228,4.9076915,2.9278512,14.205977,0.0,0.0,5.3812537,3.9925413
